ZAMAN,KAYNAK,ANA_0_DURUM,ANA_1_IRT,ANA_2_HIZ,ANA_3_SIC,ANA_4,ANA_5_EN,ANA_6_BOY,ANA_7_PITCH,ANA_8_ROLL,ANA_9_YAW,ANA_10_BASMS,ANA_11_BASBMP,ANA_12_BASTOP,ANA_13,ANA_14,ANA_15,ANA_16,ANA_17,ANA_18,ANA_19,ANA_20_IVMEX,ANA_21_IVMEY,ANA_22_IVMEZ,ANA_23,ANA_24,ANA_25,ANA_26,GOREV_0_FILTREX,GOREV_1_FILTREY,GOREV_2_FILTREZ,GOREV_3_HAM_IVMEX,GOREV_4_HAM_IVMEY,GOREV_5_HAM_IVMEZ,GOREV_6_ENLEM,GOREV_7_BOYLAM,GOREV_8,GOREV_9
"01:18:40.673","GOREV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.03160364","-0.1614223","-1.024935","0","0","0","0","0","0","0"
"01:18:40.873","GOREV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.03204372","-0.1595148","-1.025146","0","0","0","0","0","0","0"
"01:18:41.072","GOREV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.03465056","-0.1590515","-1.025147","0","0","0","0","0","0","0"
"01:18:41.271","GOREV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.03141103","-0.1615331","-1.025637","0","0","0","0","0","0","0"
"01:18:41.470","GOREV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.03358003","-0.1605734","-1.025424","0","0","0","0","0","0","0"
"01:18:41.670","GOREV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.03582956","-0.1581184","-1.024546","0","0","0","0","0","0","0"
"01:18:41.869","GOREV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.03258476","-0.1612525","-1.023481","0","0","0","0","0","0","0"
"01:18:42.069","GOREV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.03335931","-0.1619458","-1.026403","0","0","0","0","0","0","0"
"01:18:42.269","GOREV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.03361953","-0.1590082","-1.02576","0","0","0","0","0","0","0"
"01:18:42.468","GOREV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.0333308","-0.1583903","-1.028986","0","0","0","0","0","0","0"
"01:18:42.668","GOREV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.03252363","-0.159877","-1.025256","0","0","0","0","0","0","0"
"01:18:42.868","GOREV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.03188277","-0.1591127","-1.025999","0","0","0","0","0","0","0"
"01:18:43.067","GOREV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.03420047","-0.1594259","-1.024415","0","0","0","0","0","0","0"
"01:18:43.266","GOREV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.03323625","-0.160272","-1.024766","0","0","0","0","0","0","0"
"01:18:43.465","GOREV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.03285126","-0.1595003","-1.023929","0","0","0","0","0","0","0"
