ZAMAN,KAYNAK,ANA_0_DURUM,ANA_1_IRT,ANA_2_HIZ,ANA_3_SIC,ANA_4_NEM,ANA_5_EN,ANA_6_BOY,ANA_7_PITCH,ANA_8_ROLL,ANA_9_YAW,ANA_10_BASMS,ANA_11_BASBMP,ANA_12_BASTOP,ANA_13,ANA_14,ANA_15,ANA_16,ANA_17,ANA_18,ANA_19,ANA_20_IVMEX,ANA_21_IVMEY,ANA_22_IVMEZ,ANA_23,ANA_24,ANA_25,ANA_26,GOREV_0_DURUM,GOREV_1_EN,GOREV_2_BOY,GOREV_3_IVMEX,GOREV_4_IVMEY,GOREV_5_IVMEZ,GOREV_6_FILTREX,GOREV_7_FILTREY,GOREV_8_FILTREZ
"06:32:09.992","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.33","18.69","-85.66","14.77","11.87","-33.11","0.000000","0.000000","",""
"06:32:10.162","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.32","18.69","-85.75","14.68","11.91","-33.15","0.000000","0.000000","",""
"06:32:10.328","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.32","18.70","-85.83","14.77","11.90","-33.18","0.000000","0.000000","",""
"06:32:10.493","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.34","18.70","-85.92","14.73","11.97","-33.22","0.000000","0.000000","",""
"06:32:10.661","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.33","18.68","-86.00","14.56","11.86","-33.25","0.000000","0.000000","",""
"06:32:10.829","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.32","18.69","-86.09","14.51","11.89","-33.30","0.000000","0.000000","",""
"06:32:10.999","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.33","18.65","-86.18","14.58","11.98","-33.33","0.000000","0.000000","",""
"06:32:11.160","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.33","18.67","-86.26","14.58","11.90","-33.37","0.000000","0.000000","",""
"06:32:11.331","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.34","18.67","-86.35","14.70","11.99","-33.40","0.000000","0.000000","",""
"06:32:11.497","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.35","18.70","-86.43","14.63","11.93","-33.44","0.000000","0.000000","",""
